epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
46.0000,0.7679,0.7558,0.6850,0.8112,0.7101,0.7701,0.5163,0.5285,0.7221,0.5165,0.5844,0.5346,0.5164,0.7985,0.9131,0.5264,0.5400,0.7345,0.5279,0.6058,0.6021,0.5819,0.7862
47.0000,0.7605,0.7527,0.6816,0.8098,0.7067,0.7700,0.5149,0.5259,0.7208,0.5148,0.5844,0.5346,0.5164,0.7972,0.9129,0.5281,0.5422,0.7373,0.5298,0.6058,0.6021,0.5819,0.7865
48.0000,0.7726,0.7539,0.6793,0.8098,0.7056,0.7691,0.5251,0.5352,0.7290,0.5271,0.5844,0.5722,0.5540,0.8004,0.9138,0.5263,0.5346,0.7345,0.5251,0.6058,0.5492,0.5302,0.7841
49.0000,0.7723,0.7575,0.6864,0.8103,0.7120,0.7688,0.5282,0.5367,0.7331,0.5295,0.5844,0.5754,0.5569,0.8000,0.9141,0.5318,0.5399,0.7373,0.5310,0.6058,0.5585,0.5395,0.7882
50.0000,0.7525,0.7536,0.6799,0.8098,0.7055,0.7689,0.5277,0.5379,0.7304,0.5300,0.5844,0.5757,0.5569,0.7991,0.9140,0.5311,0.5415,0.7387,0.5318,0.6058,0.5591,0.5402,0.7875
51.0000,0.7747,0.7561,0.6858,0.8121,0.7102,0.7695,0.5184,0.5303,0.7235,0.5203,0.5844,0.5457,0.5281,0.7972,0.9132,0.5314,0.5459,0.7373,0.5340,0.6058,0.6220,0.6016,0.7940
52.0000,0.7668,0.7564,0.6850,0.8121,0.7102,0.7696,0.5121,0.5234,0.7194,0.5128,0.5844,0.5306,0.5134,0.7968,0.9131,0.5341,0.5475,0.7400,0.5365,0.6058,0.5947,0.5752,0.7897
53.0000,0.7756,0.7566,0.6821,0.8117,0.7085,0.7694,0.5118,0.5208,0.7194,0.5117,0.5844,0.5420,0.5249,0.7966,0.9134,0.5307,0.5404,0.7373,0.5303,0.6058,0.5592,0.5402,0.7871
54.0000,0.7465,0.7563,0.6840,0.8121,0.7095,0.7697,0.5128,0.5239,0.7208,0.5135,0.5844,0.5306,0.5134,0.7963,0.9131,0.5270,0.5383,0.7345,0.5275,0.6058,0.5696,0.5510,0.7875
55.0000,0.7930,0.7566,0.6821,0.8117,0.7085,0.7695,0.5118,0.5208,0.7194,0.5117,0.5844,0.5420,0.5249,0.7966,0.9132,0.5297,0.5393,0.7387,0.5290,0.6058,0.5642,0.5452,0.7880
