epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
75.0000,0.7474,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6499,0.5858,0.7662,0.6039,0.6155,0.5745,0.5538,0.7778
76.0000,0.7518,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9118,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
77.0000,0.7467,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
78.0000,0.7571,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
79.0000,0.7688,0.8466,0.8161,0.8804,0.8300,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
80.0000,0.7537,0.8466,0.8161,0.8804,0.8300,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
81.0000,0.7445,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
82.0000,0.7513,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
83.0000,0.7479,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
84.0000,0.7568,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
85.0000,0.7609,0.8470,0.8162,0.8809,0.8302,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
86.0000,0.7559,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
87.0000,0.7655,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
88.0000,0.7392,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
89.0000,0.7530,0.8473,0.8164,0.8814,0.8305,0.7778,0.5507,0.5556,0.7648,0.5531,0.5785,0.5420,0.5235,0.7873,0.9117,0.6491,0.5848,0.7648,0.6029,0.6155,0.5699,0.5489,0.7768
