epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
48.0000,0.7838,0.7785,0.6370,0.7947,0.6623,0.7813,0.5340,0.5331,0.7455,0.5302,0.5728,0.5689,0.5515,0.8239,0.8996,0.5311,0.5323,0.7318,0.5294,0.5918,0.5798,0.5628,0.8217
49.0000,0.7785,0.7808,0.6357,0.7938,0.6633,0.7814,0.5354,0.5331,0.7455,0.5305,0.5728,0.5656,0.5480,0.8213,0.8996,0.5311,0.5323,0.7318,0.5294,0.5918,0.5798,0.5628,0.8217
50.0000,0.7752,0.7802,0.6279,0.7910,0.6581,0.7810,0.5244,0.5174,0.7331,0.5176,0.5728,0.5414,0.5239,0.8153,0.8998,0.5312,0.5291,0.7331,0.5274,0.5918,0.5625,0.5458,0.8269
51.0000,0.7776,0.7581,0.6342,0.7933,0.6588,0.7809,0.5439,0.5449,0.7497,0.5423,0.5728,0.5619,0.5445,0.8378,0.8999,0.5367,0.5422,0.7359,0.5374,0.5918,0.6338,0.6149,0.8325
52.0000,0.7764,0.7558,0.6357,0.7947,0.6584,0.7812,0.5449,0.5492,0.7524,0.5456,0.5728,0.5677,0.5500,0.8426,0.8997,0.5358,0.5428,0.7359,0.5376,0.5918,0.6450,0.6256,0.8333
53.0000,0.7769,0.7596,0.6357,0.7952,0.6604,0.7813,0.5378,0.5372,0.7455,0.5361,0.5728,0.5556,0.5379,0.8357,0.8998,0.5299,0.5313,0.7304,0.5287,0.5918,0.5970,0.5795,0.8267
54.0000,0.7772,0.7637,0.6358,0.7966,0.6630,0.7817,0.5263,0.5217,0.7387,0.5214,0.5728,0.5447,0.5275,0.8196,0.8998,0.5319,0.5318,0.7318,0.5297,0.5918,0.5934,0.5758,0.8256
55.0000,0.7707,0.7622,0.6371,0.7971,0.6626,0.7817,0.5371,0.5346,0.7442,0.5343,0.5728,0.5484,0.5312,0.8342,0.8998,0.5299,0.5313,0.7304,0.5287,0.5918,0.5970,0.5795,0.8267
56.0000,0.7797,0.7580,0.6373,0.7938,0.6611,0.7820,0.5448,0.5460,0.7510,0.5433,0.5728,0.5619,0.5445,0.8366,0.8996,0.5299,0.5319,0.7304,0.5292,0.5918,0.6085,0.5910,0.8280
57.0000,0.7799,0.7614,0.6366,0.7961,0.6623,0.7821,0.5343,0.5318,0.7442,0.5309,0.5728,0.5516,0.5342,0.8254,0.8998,0.5310,0.5313,0.7304,0.5291,0.5918,0.5934,0.5758,0.8239
