epoch,train_loss,train_precision,train_recall,train_micro_f1,train_macro_f1,test_loss,test_precision,test_recall,test_micro_f1,test_macro_f1,best_macro_f1,test_spearmanr,test_kendalltau,test_pairwise_acc,test_auc,test_precision_mse,test_recall_mse,test_micro_f1_mse,test_macro_f1_mse,best_macro_f1_mse,test_spearmanr_mse,test_kendalltau_mse,test_pairwise_acc_mse
42.0000,0.7545,0.6337,0.6591,0.8555,0.6428,0.7732,0.4970,0.4888,0.7125,0.4917,0.5192,0.6338,0.6206,0.8299,0.9001,0.5203,0.5073,0.7290,0.5106,0.5373,0.5413,0.5287,0.8118
43.0000,0.7707,0.7345,0.6656,0.8578,0.6563,0.7747,0.5047,0.4947,0.7194,0.4980,0.5192,0.6336,0.6206,0.8338,0.8997,0.5274,0.5178,0.7331,0.5199,0.5373,0.5380,0.5245,0.8168
44.0000,0.7401,0.7351,0.6677,0.8588,0.6578,0.7748,0.5041,0.4947,0.7194,0.4978,0.5192,0.6250,0.6119,0.8310,0.8997,0.5300,0.5215,0.7359,0.5229,0.5373,0.5590,0.5455,0.8174
45.0000,0.7731,0.7351,0.6663,0.8573,0.6568,0.7742,0.5026,0.4936,0.7180,0.4966,0.5192,0.6229,0.6095,0.8310,0.9002,0.5299,0.5209,0.7359,0.5225,0.5373,0.5574,0.5437,0.8157
46.0000,0.7497,0.7359,0.6669,0.8569,0.6572,0.7740,0.4984,0.4903,0.7166,0.4933,0.5192,0.6492,0.6360,0.8314,0.9003,0.5224,0.5072,0.7331,0.5113,0.5373,0.5524,0.5386,0.8067
47.0000,0.7622,0.7356,0.6690,0.8578,0.6583,0.7731,0.4983,0.4926,0.7166,0.4942,0.5192,0.6252,0.6120,0.8277,0.9006,0.5248,0.5150,0.7331,0.5163,0.5373,0.5801,0.5673,0.8133
48.0000,0.7633,0.7358,0.6693,0.8588,0.6587,0.7739,0.5036,0.4947,0.7194,0.4976,0.5192,0.6177,0.6046,0.8286,0.9004,0.5183,0.5050,0.7304,0.5076,0.5373,0.5329,0.5208,0.8047
49.0000,0.7560,0.7353,0.6664,0.8564,0.6567,0.7748,0.5025,0.4931,0.7180,0.4963,0.5192,0.6267,0.6136,0.8277,0.9002,0.5178,0.5018,0.7318,0.5056,0.5373,0.5354,0.5224,0.8011
50.0000,0.7537,0.7353,0.6664,0.8564,0.6567,0.7746,0.5020,0.4931,0.7180,0.4961,0.5192,0.6203,0.6072,0.8258,0.9003,0.5170,0.5013,0.7304,0.5050,0.5373,0.5354,0.5224,0.8015
51.0000,0.7549,0.7349,0.6671,0.8564,0.6570,0.7738,0.5040,0.4967,0.7208,0.4989,0.5192,0.6364,0.6230,0.8284,0.9004,0.5279,0.5166,0.7373,0.5186,0.5373,0.5714,0.5584,0.8075
52.0000,0.7556,0.7351,0.6675,0.8569,0.6573,0.7738,0.5033,0.4962,0.7194,0.4983,0.5192,0.6274,0.6140,0.8280,0.9005,0.5287,0.5176,0.7387,0.5196,0.5373,0.5781,0.5651,0.8084
53.0000,0.7549,0.7353,0.6664,0.8564,0.6567,0.7741,0.5015,0.4931,0.7180,0.4958,0.5192,0.6343,0.6212,0.8288,0.9004,0.5224,0.5081,0.7345,0.5114,0.5373,0.5271,0.5148,0.8045
54.0000,0.7555,0.7353,0.6664,0.8564,0.6567,0.7742,0.5020,0.4931,0.7180,0.4961,0.5192,0.6203,0.6072,0.8258,0.9005,0.5206,0.5050,0.7331,0.5090,0.5373,0.5372,0.5242,0.8056
55.0000,0.7466,0.7344,0.6660,0.8564,0.6559,0.7742,0.5029,0.4942,0.7194,0.4970,0.5192,0.6203,0.6072,0.8262,0.9005,0.5170,0.5013,0.7304,0.5050,0.5373,0.5354,0.5224,0.8015
56.0000,0.7573,0.7340,0.6667,0.8564,0.6562,0.7738,0.5013,0.4936,0.7180,0.4960,0.5192,0.6201,0.6070,0.8275,0.9006,0.5287,0.5171,0.7387,0.5193,0.5373,0.5717,0.5587,0.8069
57.0000,0.7592,0.7341,0.6658,0.8559,0.6557,0.7742,0.5023,0.4942,0.7194,0.4968,0.5192,0.6343,0.6212,0.8297,0.9005,0.5179,0.5024,0.7318,0.5060,0.5373,0.5183,0.5060,0.8006
58.0000,0.7549,0.7341,0.6658,0.8559,0.6557,0.7741,0.5023,0.4942,0.7194,0.4968,0.5192,0.6343,0.6212,0.8297,0.9006,0.5179,0.5024,0.7318,0.5060,0.5373,0.5183,0.5060,0.8006
